model,smiles,tSNE-1,tSNE-2
Initial molecules,c1cc2ccc3ncc(-c4ccc(-c5ccn[nH]5)cc4)cc3c2cn1,3.4677954,8.0714655
Initial molecules,c1ccc2cc(-c3n[nH]cc3-c3ccncc3)ccc2c1,-15.718228,2.3444147
Initial molecules,c1ccc(-c2cnc(Nc3ccc(OCCN4CCCC4)cc3)s2)cc1,-3.2370908,-22.743822
Initial molecules,c1ccc(-c2c[nH]c3ncnc(N4CCCCC4)c23)cc1,-22.50127,4.1675844
Initial molecules,c1ccc(-c2[nH]ncc2-c2ccnc3ccccc23)nc1,2.998307,12.816224
Initial molecules,c1ccc(-c2noc(CN3CCCCC3)c2-c2ccnc(NC3CCCCC3)n2)cc1,-18.661268,26.554348
Initial molecules,c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,6.135419,-27.252974
Initial molecules,c1cc(-n2cnc(N3CCOCC3)n2)ccc1Nc1ncc2ccc(-c3cn[nH]c3)cc2n1,38.18011,-32.601337
Initial molecules,c1cc(-n2cnc(N3CCOCC3)n2)ccc1Nc1ncc2ccc(-c3cnoc3)cc2n1,37.627907,-32.83797
Initial molecules,c1cnc2[nH]cc(-c3ccnc(NC4CCCCC4)n3)c2c1,6.987723,22.576872
Initial molecules,Cc1ccc2c(-c3ccnc(Nc4ccc5c(c4)OCCO5)n3)c(-c3ccc(F)cc3)nn2n1,10.933499,-36.583546
Initial molecules,Cc1ccc2c(-c3ccnc(Nc4ccc(Cl)c(C(F)(F)F)c4)n3)c(-c3ccccc3)nn2n1,8.399156,-39.8245
Initial molecules,Cc1cccc(Nc2nc(NC3CCCCC3N)cnc2C(N)=O)c1,-18.102137,-22.622293
Initial molecules,Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCCCCCCCCN)cnc(N)c34)cc2)c1,1.182611,1.0398915
Initial molecules,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,34.452335,0.791865
Initial molecules,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,-3.3074915,-22.79089
Initial molecules,Cc1ncn(-c2ccc(Nc3cc(-c4nocc4-c4c(C)n[nH]c4C)ccn3)cc2)n1,45.455956,-23.810345
Initial molecules,Cc1ncn(-c2ccc(Nc3cc(-c4nocc4-c4c[nH]nc4C)ccn3)cc2)n1,45.362846,-23.642412
Initial molecules,Cc1ncn(-c2ccc(Nc3cc(-c4nocc4-c4cn[nH]c4C)ccn3)cc2)n1,45.421513,-24.000708
Initial molecules,CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCCCC4)cc3OC)nc2N1C1CCCC1,-26.3982,14.334096
Initial molecules,CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,-26.396965,14.338886
Initial molecules,CC(C)C(CO)Nc1nc(Nc2cccc(Cl)c2)c2ncn(C(C)C)c2n1,-8.587148,-37.31233
Initial molecules,CCC(CO)Nc1nc(N=C(N)N)c2ncn(C(C)C)c2n1,-8.896895,-38.216904
Initial molecules,CCCn1c(C2CCNCC2)nc(-c2ccc(Cl)c(Cl)c2)c1-c1ccnc(NC2CCCCC2)n1,7.0572696,41.123642
Initial molecules,CCN1CCN(c2ccc(Nc3nccc(-c4c(-c5cccc(C(=O)Nc6ccccc6F)c5)nc5ccccn45)n3)cc2)CC1,-1.2733339,-18.042356
Initial molecules,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,-8.428495,-18.177189
Initial molecules,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21,-40.202568,-14.209499
Initial molecules,CCN(CC)CCNC(=O)c1c(C)[nH]c(C=C2C(=O)Nc3ccc(F)cc32)c1C,-40.47105,-10.337389
Initial molecules,CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O,-11.084856,-12.06192
Initial molecules,CCN(CC)S(=O)(=O)c1cc(Nc2nccc(-c3ccnc(-c4ccc(NC(=O)NC)cc4)c3)n2)ccc1Cl,16.377222,2.6397524
Initial molecules,CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1C#N,-28.508154,-24.921896
Initial molecules,CCOc1nc(C(=O)NCc2ccc(S(N)(=O)=O)cc2)cc(N)c1C#N,-28.23285,-24.697882
Initial molecules,CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,-25.966154,-26.504372
Initial molecules,Clc1ccc(-c2nn3ncccc3c2-c2ccnc(Nc3ccccc3)n2)cc1,6.079757,-34.42883
Initial molecules,Clc1cc(NC2CCCCC2)nc(-c2c[nH]c3ncccc23)n1,-20.260328,34.862534
Initial molecules,Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,0.43005288,1.8252866
Initial molecules,CN1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(Nc3ccccc3)n2)CC1,9.146492,-0.47401226
Initial molecules,CN1CCOCCN(C)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC1,-30.976942,-1.2678591
