method,retro_status,SMILES,JNK3,GSK3b,QED,SA,SA_norm,TPSA,TPSA_norm,LogP,LogP_norm,six_dim_mean,six_dim_min,six_dim_std,display_score,pass_6d_threshold,alert_count,alert_labels
GB-GA crossover,unsolved,Cc1cc(C)c(C=C2C(=O)NC3=C(c4ccnc(NC5CC5)n4)CC=C23)[nH]1,0.5199999809265137,0.6499999761581421,0.7320066094398499,3.2994303703308105,0.74450773662991,82.69999999999999,0.7510581334017099,3.250440000000001,0.9861588609255768,0.7306218829136171,0.5199999809265137,0.13950686919290217,0.8726711902722809,True,7,strained small ring; highly substituted amide
GB-GA crossover,unsolved,O=C(C=CCl)N1CCC(Nc2nccc(C3=CCC4C=CC=CN34)n2)CC1,0.6499999761581421,0.5400000214576721,0.8092153072357178,3.877929210662842,0.6802300877041287,61.36000000000001,0.9989729721988732,3.130700000000002,0.9962110872238369,0.7791049086630618,0.5400000214576721,0.17320467427137468,0.923784447673226,True,4,highly substituted amide
GB-GA crossover,unsolved,Cc1cc(C)c(C=C2C(=O)NC3=CC=C(c4ccnc(NC5CCCC5)n4)C32)[nH]1,0.5400000214576721,0.6200000047683716,0.6953549981117249,3.839306354522705,0.6845215161641439,82.69999999999999,0.7510581334017099,3.886540000000002,0.839745625026573,0.688446716488366,0.5400000214576721,0.0945128337106819,0.8409954395545994,True,4,highly substituted amide
GB-GA crossover,unsolved,O=C(C=CNc1ccc(F)cc1)N1CCC(Nc2nccc(C3=CCC4C=CC=CN34)n2)CC1,0.5299999713897705,0.5299999713897705,0.634134829044342,3.7060086727142334,0.6993323696984185,73.39000000000001,0.9051933404685789,4.143100000000003,0.7479846652486971,0.6744408578732629,0.5299999713897705,0.1307834740607228,0.8203625018841217,True,4,highly substituted amide
GB-GA crossover,unsolved,CS(=O)(=O)Nc1ccc(C2=C(F)C=CC2Nc2nccc(C3=CC=CC3)n2)cc1,0.5099999904632568,0.5,0.754077672958374,3.6503875255584717,0.7055124971601698,83.98,0.7265362584005024,3.922500000000002,0.8276933859508698,0.6706366341555287,0.5,0.12307945689993297,0.8083286884655354,True,4,sulfonamide / sulfone motif
GB-GA crossover,unsolved,O=C(C1CCCC1)N1CCC(Nc2nccc(C3=CCC4C=C(F)CN34)n2)CC1,0.6299999952316284,0.5199999809265137,0.8442944288253784,3.595658779144287,0.7115934689839681,61.36000000000001,0.9989729721988732,3.3519000000000023,0.9728566067097769,0.7796195754793565,0.5199999809265137,0.17514527464397298,0.9181050422929132,True,4,highly substituted amide
GB-GA crossover,unsolved,CC(=O)N1CCC(C)C(c2[nH]ncc2-c2ccnc(NC3CCCC3)n2)C1,0.7799999713897705,0.6399999856948853,0.8653508424758911,3.552825689315796,0.7163527011871338,86.8,0.670975790614647,3.193100000000002,0.991748099840697,0.777404565200504,0.6399999856948853,0.12084347126924724,0.9573202137820449,True,4,highly substituted amide
GB-GA crossover,unsolved,O=C(C1CCCC1)N1CCC(Nc2nccc(C3=CCC4C=CC=CN34)n2)CC1,0.6299999952316284,0.550000011920929,0.850230872631073,3.5415329933166504,0.7176074451870389,61.36000000000001,0.9989729721988732,3.5684000000000022,0.9307214549623279,0.7795887920219785,0.550000011920929,0.16067062960243494,0.9285217326380136,True,4,highly substituted amide
GB-GA crossover,unsolved,CCC(=O)N1CCC(NC2=CCC(Nc3nccc(-c4cnc5ccccn45)n3)CC2)CC1,0.8100000023841858,0.5199999809265137,0.6025224328041077,3.4962732791900635,0.7226363023122152,87.45,0.6579591050290597,3.630200000000003,0.9155264638059626,0.7047740478770074,0.5199999809265137,0.13076482065884845,0.8476975600890766,True,4,highly substituted amide
GB-GA crossover,unsolved,CCC(=O)N1CCC(c2ccc(Nc3nccc(C4=CCC5C=CC=CN45)n3)cc2)CC1,0.5,0.7400000095367432,0.7402138710021973,3.489854097366333,0.7233495447370741,61.36000000000001,0.9989729721988732,4.834900000000004,0.47322199389551317,0.6959597318950669,0.47322199389551317,0.1753460944263021,0.8203917206210907,True,4,highly substituted amide
GB-GA crossover,unsolved,COC1=CC=C(NC2CCN(C(=O)C3CCCC3)CC2)C1Nc1nccc(-c2ccccc2)n1,0.6100000143051147,0.5199999809265137,0.6484347581863403,3.3546266555786133,0.7383748160468208,79.38000000000001,0.8116727802714274,4.122700000000003,0.7557072784839599,0.6806982713700295,0.5199999809265137,0.0982940955521349,0.82686885609277,True,4,highly substituted amide
GB-GA crossover,unsolved,Cc1cc(C)c(C=C2C(=O)NC3=C(c4ccnc(NC5CCC(C)CC5)n4)CC=C23)[nH]1,0.5199999809265137,0.6600000262260437,0.6340847611427307,3.305349588394165,0.7438500457339816,82.69999999999999,0.7510581334017099,4.666740000000003,0.5393782062403129,0.6413951922785488,0.5199999809265137,0.08950493718364778,0.7884446928381381,True,4,highly substituted amide
GB-GA crossover,unsolved,NC(=O)c1ccc(Nc2nccc(C3=C(F)C(F)C=C3)n2)cc1,0.550000011920929,0.7400000095367432,0.9089753031730652,3.297485828399658,0.7447237968444824,80.9,0.7845286226805063,2.9076000000000013,0.9981045186979749,0.7877220438089502,0.550000011920929,0.14119215206437674,0.9386028321787911,True,4,highly substituted amide
GB-GA crossover,unsolved,CNc1nc(C)c(C2=C(c3ccnc(NC4CCN(C(=O)CN(C)C)CC4)n3)C=CC2)s1,0.5199999809265137,0.5600000023841858,0.6660961508750916,3.1996591091156006,0.7555934323204888,86.28,0.681343973340304,3.118420000000002,0.9968885624969217,0.6966536837239176,0.5199999809265137,0.15527598321378142,0.8371260796804935,True,4,highly substituted amide
GB-GA crossover,unsolved,O=C(C1CCCC1)N1C=C(Nc2nccc(-c3cnc4ccccn34)n2)CC1,0.5400000214576721,0.6299999952316284,0.7567846179008484,3.024733304977417,0.775029632780287,75.42,0.8762551178699075,3.467100000000002,0.9526716483265314,0.755123505594479,0.5400000214576721,0.13906302866904238,0.9032172091648765,True,4,highly substituted amide
GB-GA crossover,unsolved,NC(=O)C1=CC(Cl)=C(Nc2nccc(-c3ccc(Cl)cc3)n2)CC1,0.5099999904632568,0.6800000071525574,0.8664716482162476,2.8273861408233643,0.7969570954640707,80.9,0.7845286226805063,3.8648000000000016,0.8468807864556778,0.7474730250720527,0.5099999904632568,0.12166238543860804,0.888306783667169,True,4,highly substituted amide
GB-GA crossover,unsolved,CNC(=O)Cc1cc(-c2ccc(Nc3nccc(C4=CC=NC4)n3)cc2)ccc1OC,0.5199999809265137,0.7400000095367432,0.6172472834587097,2.73766827583313,0.8069257471296523,88.5,0.6368316143717432,3.6521000000000026,0.90983088667913,0.7051392536837486,0.5199999809265137,0.12919101458722984,0.8482201465029797,True,4,highly substituted amide
GB-GA crossover,unsolved,O=S(=O)(NC1=CC=C(Nc2nccc(-c3ccc(F)cc3)n2)C1)c1ccccc1,0.5,0.699999988079071,0.647393524646759,2.6871907711029053,0.8125343587663438,83.98,0.7265362584005024,3.8446000000000025,0.8534041583489971,0.7066447147069456,0.5,0.11503877502787607,0.845140837204158,True,4,sulfonamide / sulfone motif
GB-GA crossover,unsolved,c1cc(-c2c[nH]s2)nc(Nc2ccc(N3CCNCC3)cc2)n1,0.5799999833106995,0.8600000143051147,0.6876312494277954,2.6634786128997803,0.8151690430111356,68.87,0.9572320993395109,2.6864,0.9783826424120312,0.8130691719677144,0.5799999833106995,0.14164175800943304,0.972904991159981,True,4,strained small ring
GB-GA crossover,unsolved,O=C(C1CCCC1)N1C=C(Nc2nccc(-c3ccccc3)n2)CC1,0.5199999809265137,0.6700000166893005,0.9233031272888184,2.637826681137085,0.818019257651435,58.120000000000005,0.9980383709585089,3.8194000000000026,0.8613936866559156,0.7984590733617486,0.5199999809265137,0.16010543171668895,0.9384485244680337,True,4,highly substituted amide
GB-GA crossover,unsolved,CS(=O)(=O)Nc1ccc(C2=CC(Nc3nccc(-c4ccccc4)n3)=CC2)cc1,0.6200000047683716,0.6499999761581421,0.6399734020233154,2.6130974292755127,0.8207669523027208,83.98,0.7265362584005024,4.298200000000002,0.6876218178376757,0.6908164019151214,0.6200000047683716,0.06762545429942717,0.8700538579156901,True,4,sulfonamide / sulfone motif
GB-GA crossover,unsolved,CS(=O)(=O)Nc1ccc(Nc2nccc(C3=C(c4ccccc4)CC=C3)n2)cc1,0.6100000143051147,0.7200000286102295,0.6335580348968506,2.549464464187622,0.8278372817569308,83.98,0.7265362584005024,4.462400000000002,0.6217311575775212,0.6899437959245249,0.6100000143051147,0.07689855348104847,0.8652539448679545,True,4,sulfonamide / sulfone motif
GB-GA crossover,unsolved,c1ccc(-c2ccnc(Nc3ccc(-n4cco4)cc3)n2)cc1,0.7699999809265137,0.8299999833106995,0.6113602519035339,2.4452266693115234,0.8394192589653863,55.88,0.9906141028820715,4.270900000000003,0.6984229583459334,0.7899694227223564,0.6113602519035339,0.11901455751848343,0.9614760425415683,True,4,strained small ring
GB-GA crossover,unsolved,OC1CCC(Nc2nccc(C3=NC=CC(C4CC4)C3)n2)CC1,0.6200000047683716,0.6200000047683716,0.8965659141540527,3.5731868743896484,0.7140903472900391,70.4,0.9416808249017043,2.9247000000000014,0.9987407734918934,0.7985129782290721,0.6200000047683716,0.15333162565847633,0.9691798170937359,True,3,strained small ring
GB-GA crossover,unsolved,C1=C(NC2CC2)CCC(c2[nH]ncc2-c2ccnc(NC3CCCC3)n2)C1,0.7599999904632568,0.7200000286102295,0.7183589935302734,3.546205997467041,0.7170882225036621,78.52,0.8265042478067038,4.124600000000003,0.7549905581630935,0.7494903401795366,0.7170882225036621,0.03864492973532924,0.9607523139571023,True,3,strained small ring
GB-GA crossover,unsolved,CC1CCC(Nc2nccc(C3=NC=CC(C4CC4)C3)n2)CC1,0.550000011920929,0.6100000143051147,0.9064428806304932,3.5021002292633057,0.7219888634151883,50.17,0.9477327533469039,4.199900000000003,0.7261877644413467,0.7437253813433293,0.550000011920929,0.14392592375458566,0.8943327925441494,True,3,strained small ring
GB-GA crossover,unsolved,Cc1ccc(Nc2nccc(C3=CC=CC3c3ccnc(NC4CC4)n3)n2)cc1,0.6299999952316284,0.8500000238418579,0.6473293304443359,3.2636685371398926,0.748481273651123,75.62,0.8732382167988064,4.629920000000003,0.5541253977665991,0.7171957062890585,0.5541253977665991,0.11693400317708619,0.8717399253013296,True,3,strained small ring
GB-GA crossover,unsolved,c1ccc(NC2=Nn3ncc(-c4ccnc(NC5CC5)n4)c3C2)cc1,0.6399999856948853,0.8100000023841858,0.7682594060897827,2.994037628173828,0.7784402635362413,80.02,0.8003814208375257,2.744200000000001,0.985564398123693,0.7971075794443857,0.6399999856948853,0.10128868554476786,0.9789787065983745,True,3,strained small ring
GB-GA crossover,unsolved,C1=C(Nc2nccc(-c3ccccc3)n2)CC(c2ccnc(NC3CC3)n2)=C1,0.699999988079071,0.7599999904632568,0.6759045124053955,2.7989625930786133,0.8001152674357096,75.62,0.8732382167988064,4.291000000000002,0.6904763511785612,0.7499557210601334,0.6759045124053955,0.0699194696280581,0.9457351278189462,True,3,strained small ring
GB-GA crossover,unsolved,Cc1ncn(-c2ccc(Nc3nccc(-c4cc4=O)n3)cc2)n1,0.8399999737739563,0.8399999737739563,0.620514452457428,2.4805502891540527,0.8354944123162164,85.59,0.6950270592518059,2.0121199999999995,0.8050360670684014,0.7726786564402941,0.620514452457428,0.08489292890023412,0.9503436992874991,True,3,strained small ring
GB-GA crossover,unsolved,O=c1nc1-c1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1,0.5400000214576721,0.8999999761581421,0.6296903491020203,2.308866262435913,0.8545704152848985,71.53,0.9288053805938302,2.5755999999999997,0.9607648090969825,0.802305158615591,0.5400000214576721,0.1591579712442172,0.948389367928471,True,3,strained small ring
GB-GA crossover,unsolved,Cc1ccc(-c2ccnc(Nc3cc3=O)n2)cc1,0.5099999904632568,0.6499999761581421,0.7597254514694214,2.009011745452881,0.8878875838385688,54.88,0.9855419800738192,2.43142,0.9306791274576518,0.7873056849101433,0.5099999904632568,0.16657444093927684,0.9236482379551927,True,3,strained small ring
