model,generation,population_size,unique_smiles,hv_evaluation_size,hypervolume,hypervolume_full_population,nondominated_count,feasible_count,feasible_rate,drd2_mean,drd2_median,drd2_max,qed_mean,qed_median,qed_max,sa_raw_mean,sa_raw_median,sa_raw_min,sa_norm_mean,sa_norm_median,sa_norm_max
PT-MOGA,0,100,82,100,0.8409171316896066,0.8409171316896066,20,57,56.99999999999999,0.8958000034093857,0.9300000071525574,1.0,0.6121598537266254,0.6612670421600342,0.9370995163917542,2.6323068487644194,2.4894171953201294,1.712999701499939,0.8186325723595089,0.8345092005199857,0.9207778109444512
PT-MOGA,5,100,93,100,0.88524303801914,0.88524303801914,52,40,40.0,0.4471999988891184,0.4050000011920929,1.0,0.7765771815180779,0.7972668409347534,0.9481740593910216,2.234156086444855,1.9856481552124023,1.0,0.8628715459505716,0.8904835383097331,1.0
PT-MOGA,10,100,93,100,0.8841941386890851,0.8841941386890851,54,37,37.0,0.4154000020213425,0.3600000143051147,1.0,0.7826226738095283,0.8281131982803345,0.9473330974578856,2.11903589129448,1.891812920570373,1.0,0.8756626787450579,0.9009096754921808,1.0
PT-MOGA,15,100,94,100,0.8832444460933461,0.8832444460933461,51,37,37.0,0.4258000017888844,0.4000000059604645,1.0,0.6998454815149308,0.7630303204059601,0.94707852602005,2.4529849433898927,2.166135787963867,1.0,0.838557228512234,0.8704293568929037,1.0
PT-MOGA,20,100,93,100,0.8789798946712906,0.8789798946712906,53,44,44.0,0.4765999994240701,0.5099999904632568,1.0,0.7392485001683236,0.8037240505218506,0.94707852602005,2.279466161727905,1.9041127562522888,1.0,0.8578370931413438,0.8995430270830791,1.0
PT-MOGA,25,100,96,100,0.8807880300135622,0.8807880300135622,55,45,45.0,0.505300004761666,0.5600000023841858,1.0,0.7408554480969906,0.8096120059490204,0.9473817944526672,2.349631153345108,2.170165657997132,1.0,0.8500409829616546,0.8699815935558743,1.0
PT-MOGA,30,100,93,100,0.8794851939000596,0.8794851939000596,53,47,47.0,0.5139000014029443,0.574999988079071,1.0,0.7440391078591346,0.804791271686554,0.9476718306541444,2.347867728471756,1.9714549779891968,1.0,0.8502369190586937,0.8920605580012004,1.0
PT-MOGA,35,100,93,100,0.879201597630129,0.879201597630129,52,46,46.0,0.4895000000856817,0.5099999904632568,1.0,0.7517846110463142,0.7961238920688629,0.9472287893295288,2.262783304452896,2.02240002155304,1.0549172163009644,0.8596907439496784,0.8863999976052179,0.9938980870776706
PT-MOGA,40,100,96,100,0.8833820156115929,0.8833820156115929,52,53,53.0,0.5685000028088689,0.6349999904632568,1.0,0.7585854414105415,0.8305544257164001,0.9471821784973145,2.367627074718476,2.005331516265869,1.0549172163009644,0.8480414361423918,0.8882964981926813,0.9938980870776706
PT-MOGA,45,100,95,100,0.8796966120010759,0.8796966120010759,54,46,46.0,0.5087000015191734,0.5249999761581421,1.0,0.7732882300019264,0.830566018819809,0.9473978877067566,2.212958393096924,1.9003723859786987,1.0549172163009644,0.8652268452114528,0.8999586237801446,0.9938980870776706
PT-MOGA,50,100,94,100,0.8814515406482036,0.8814515406482036,53,48,48.0,0.5142000015079975,0.5349999964237213,1.0,0.7701282526552677,0.8390561640262604,0.9473978877067566,2.426300357580185,2.0738537311553955,1.0549172163009644,0.8415221824910905,0.8806829187605116,0.9938980870776706
