smiles,murcko_scaffold
CC1CCC(Nc2nc(Nc3ccc(C(N)=O)cc3)ncc2Cl)C1,c1ccc(Nc2nccc(NC3CCCC3)n2)cc1
N#Cc1nn(C2CC2)nc1Nc1nc(Nc2ccc(Cl)cc2)ncc1Cl,c1ccc(Nc2nccc(Nc3cnn(C4CC4)n3)n2)cc1
Nc1nccc(-c2ccnc(NC3CC3)n2)c1CNc1ccccc1,c1ccc(NCc2cnccc2-c2ccnc(NC3CC3)n2)cc1
NC(=O)c1ccc(-c2ccnc(NC3CCOC3)n2)cc1,c1ccc(-c2ccnc(NC3CCOC3)n2)cc1
Cc1c(-c2ccnc(NC3CCNCC3)n2)cnn1C1CCCCOC1,c1cc(-c2cnn(C3CCCCOC3)c2)nc(NC2CCNCC2)n1
CSc1ccc(-c2ccnc(NC3CC4(CC4)C3)n2)cc1,c1ccc(-c2ccnc(NC3CC4(CC4)C3)n2)cc1
O=C(Nc1cccc(C(F)(F)F)n1)Nc1ccnc2ccc(F)cc12,O=C(Nc1ccccn1)Nc1ccnc2ccccc12
O=c1nc(-c2ccnc(NC3CC3)n2)c(-c2ccnc(NC3CC3)n2)c[nH]1,O=c1nc(-c2ccnc(NC3CC3)n2)c(-c2ccnc(NC3CC3)n2)c[nH]1
O=C1NC(Nc2nc(Nc3ccc(N4CC4)cc3)ncc2Cl)CCC12CC2,O=C1NC(Nc2ccnc(Nc3ccc(N4CC4)cc3)n2)CCC12CC2
Fc1ccc(Nc2ncc(Cl)c(NC3CCCNC3)n2)cc1,c1ccc(Nc2nccc(NC3CCCNC3)n2)cc1
FC1CCC(Nc2nccc(-c3cnn(CNc4ccccc4)c3Cl)n2)C1,c1ccc(NCn2cc(-c3ccnc(NC4CCCC4)n3)cn2)cc1
FC1CCC(n2cc(-c3ccnc(NC4CC4)n3)cn2)C1,c1cc(-c2cnn(C3CCCC3)c2)nc(NC2CC2)n1
CC(C)C1CCC(Nc2nccc(-c3c[nH]c4ncccc34)n2)CC1,c1cnc2[nH]cc(-c3ccnc(NC4CCCCC4)n3)c2c1
CCN1CCCC(Nc2nccc(-c3cn[nH]c3Cl)n2)CC1,c1cc(-c2cn[nH]c2)nc(NC2CCCNCC2)n1
O=C1CCC(Nc2ncc(Cl)c(Nc3ccccc3C(=O)O)n2)CC1,O=C1CCC(Nc2nccc(Nc3ccccc3)n2)CC1
CSc1nc(-c2ccc(F)cc2)c(-c2ccnc(N3CCOCC3)c2)[nH]1,c1ccc(-c2nc[nH]c2-c2ccnc(N3CCOCC3)c2)cc1
C1=C(c2c(-c3ccnc(NC4CC4)n3)cnn2C2CC2)CCNC1,C1=C(c2c(-c3ccnc(NC4CC4)n3)cnn2C2CC2)CCNC1
COc1c(-c2ccnc(NC3CC(F)C3)n2)cnn1C,c1cc(-c2cn[nH]c2)nc(NC2CCC2)n1
O=c1nc(-c2ccnc(NC3CC3)n2)cc[nH]1,O=c1nc(-c2ccnc(NC3CC3)n2)cc[nH]1
Nc1ccccc1Cc1c(-c2ccnc(NC3CC3)n2)cnn1CC1CC1,c1ccc(Cc2c(-c3ccnc(NC4CC4)n3)cnn2CC2CC2)cc1
CNc1cc(-c2[nH]c(N(C)CC3CCOC3)nc2-c2ccc(F)cc2)ccn1,c1ccc(-c2nc(NCC3CCOC3)[nH]c2-c2ccncc2)cc1
Cn1ncc(-c2ccnc(Nc3ccc(F)cc3)n2)c1NC1CCC(F)C1,c1ccc(Nc2nccc(-c3cn[nH]c3NC3CCCC3)n2)cc1
O=S1(=O)CCN(c2nccc(-c3ccnc(Nc4ccc(S)cc4)n3)n2)CC1,O=S1(=O)CCN(c2nccc(-c3ccnc(Nc4ccccc4)n3)n2)CC1
FC1CCC(Nc2nccc(-c3ccnc(Cl)n3)n2)C1,c1cc(-c2ccnc(NC3CCCC3)n2)ncn1
Fc1cc2ccc(-c3ccnc(NC4CC4)n3)cc2cc1F,c1ccc2cc(-c3ccnc(NC4CC4)n3)ccc2c1
