generated_scaffold,nearest_reference_scaffold,max_tanimoto_similarity
O=C1Cc2cccc(Nc3ccnc(NC4CC4)n3)c2C(=O)N1,c1ccc(-c2nn3ccccc3c2-c2ccnc(NC3CC3)n2)cc1,0.2524271844660194
C1=CCC(Nc2nccc(-c3ccnc(N4CCOCC4)n3)n2)CC1,c1ccc(-c2[nH]c3ccccc3c2-c2ccnc(NC3CCNCC3)n2)cc1,0.2641509433962264
O=C1NC(c2ccccc2Nc2ccnc(NC3CC3)n2)C2CC12,c1ccc(-c2nn3ccccc3c2-c2ccnc(NC3CC3)n2)cc1,0.2692307692307692
c1cnc(Nc2ccc(-c3ccnc(NC4CC4)c3)cc2)nc1,O=c1c(-c2ccccc2)c(-c2ccnc(NC3CCCCC3)c2)oc2ccccc12,0.27
c1cnc(Nc2ccc(-n3cnc(C4CCCC4)n3)cc2)nc1,c1ccc(-c2ncn(-c3ccc(Nc4nccc(-c5cccc(N6CCOCC6)c5)n4)cc3)n2)nc1,0.2743362831858407
O=c1nc(Nc2ccnc(NC3CC3)n2)cc[nH]1,c1ccn2c(-c3ccnc(NC4CCNCC4)n3)cnc2c1,0.2777777777777778
O=C1N=C(Nc2ccc(-c3ccnc(NC4CC4)c3)cc2)CN1,O=c1c(-c2ccccc2)c(-c2ccnc(NC3CCCCC3)c2)oc2ccccc12,0.27884615384615385
C1=CCC(Nc2nccc(-c3ccncn3)n2)CC1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.27906976744186046
O=C1CCC(Nc2nccc(-c3cnc4[nH]ccc4c3)n2)C1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.28125
O=C1N=C(Nc2ccc(-c3ccnc(Nc4ccccc4)c3)cc2)NC1=O,c1ccc(-c2n[nH]cc2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)c2)cc1,0.2815533980582524
O=c1nc(Nc2ccnc(NC3CC3)n2)c(C2CC2)c[nH]1,c1ccn2c(-c3ccnc(NC4CCNCC4)n3)cnc2c1,0.28421052631578947
C1=CSCC(Nc2nccc(-c3cn[nH]c3)n2)CC1,c1cc(-c2cn[nH]c2C2CCCCC2)nc(NC2CCCC2)n1,0.2872340425531915
O=C1CC(Nc2nccc(-c3cn[nH]c3)n2)CS1,c1cc(-c2cn[nH]c2C2CCCCC2)nc(NC2CCCC2)n1,0.29213483146067415
O=C1NCc2cc(-c3ccnc(Nc4ccccc4)c3)ccc21,c1ccc(-c2n[nH]cc2-c2ccnc(Nc3ccc(N4CCOCC4)cc3)c2)cc1,0.297029702970297
c1cnc(Nc2ccc(-n3cnc(NC4CCCCC4)n3)cc2)nc1,c1cnc2[nH]cc(-c3ccnc(NC4CCCCC4)n3)c2c1,0.3010752688172043
c1ccc(Nc2cc(-c3cnnc(NC4CC4)n3)ccn2)cc1,c1ccc(Nc2nccc(-c3ccnc(-c4ccccc4)c3)n2)cc1,0.30337078651685395
O=C(Nc1cc(-c2ccnc(NC3CC3)n2)ccn1)N1CCOCC1,c1ccc(-c2nn3ccccc3c2-c2ccnc(NC3CC3)n2)cc1,0.30392156862745096
O=C1CC(N2CCC(Nc3nccc(-c4cn[nH]c4)n3)CC2)CS1,c1cc(-c2cn[nH]c2C2CCCCC2)nc(NC2CCCC2)n1,0.30612244897959184
O=C(c1ccc(Nc2nccc(-c3cn(CC4CC4)cn3)n2)cc1)N1CCCOC1,c1cc(-c2cc[nH]n2)nc(Nc2ccc(-n3cncn3)cc2)n1,0.3090909090909091
O=C(Nc1cc(-c2ccc(Nc3ncccn3)cc2)ccn1)C1CC1,O=C(Nc1cccc(Nc2cc(Nc3ccccc3)ncn2)c1)C1CC1,0.3103448275862069
O=S(=O)(c1ccc(Nc2nccc(-c3cc[nH]c3)n2)cc1)N1CCN(C2CC2)CC1,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,0.3103448275862069
c1ccc(NC2CCC(Nc3nccc(-c4cn(CC5CC5)cn4)n3)CC2)nc1,c1ccc(-c2nn3ccccc3c2-c2ccnc(NC3CC3)n2)cc1,0.3106796116504854
