smiles,murcko_scaffold
NC1CCC(n2ccc(-c3ccnc(NC4CCC(O)C4)n3)n2)C1,c1cc(-c2ccn(C3CCCC3)n2)nc(NC2CCCC2)n1
O=CN(CCCF)c1ccc(Nc2nccc(-c3cn[nH]c3)n2)cc1,c1ccc(Nc2nccc(-c3cn[nH]c3)n2)cc1
NC(=O)c1ccccc1-c1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl,c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1
OC1CCC(NC2CCC(Nc3nccc(-c4cn[nH]c4)n3)C2)C1,c1cc(-c2cn[nH]c2)nc(NC2CCC(NC3CCCC3)C2)n1
Cn1ncc(-c2ccnc(NC3CCCC3)n2)c1-c1ccnc(NC2CCCC2)n1,c1cc(-c2cn[nH]c2-c2ccnc(NC3CCCC3)n2)nc(NC2CCCC2)n1
CC1CCC(Nc2nccc(-c3ccc(Cl)cc3)n2)CC1,c1ccc(-c2ccnc(NC3CCCCC3)n2)cc1
CC1CC(n2cc(-c3ccnc(NC4CCCCOC4)n3)cn2)C1,c1cc(-c2cnn(C3CCC3)c2)nc(NC2CCCCOC2)n1
Cc1ccc(-c2ccnc(NC3CCCCOC3)n2)cn1,c1cncc(-c2ccnc(NC3CCCCOC3)n2)c1
O=S1CCC(Nc2nccc(-c3ccsc3)n2)C1,O=S1CCC(Nc2nccc(-c3ccsc3)n2)C1
CN1CCCC1c1ccc(Nc2nccc(-c3cn[nH]c3)n2)c(Cl)n1,c1cc(-c2cn[nH]c2)nc(Nc2ccc(C3CCCN3)nc2)n1
ClCC1CC(Nc2nccc(-c3ccc(OCC4CCOC4)cc3)n2)CO1,c1cc(-c2ccc(OCC3CCOC3)cc2)nc(NC2CCOC2)n1
CCNc1nccc(-c2c(-c3ccnc(NC4CCCC4)n3)cnn2C)n1,c1cc(-c2[nH]ncc2-c2ccnc(NC3CCCC3)n2)ncn1
OC1CCC(Cn2cc(-c3ccnc(NC4CCCC4)n3)cn2)N1,c1cc(-c2cnn(CC3CCCN3)c2)nc(NC2CCCC2)n1
O=c1nc(-c2ccnc(NC3CCCC(CF)C3)n2)ccn1CC1CC1,O=c1nc(-c2ccnc(NC3CCCCC3)n2)ccn1CC1CC1
O=C(NC1CC1)C1CCC(n2cc(-c3ccnc(NC4CC4)n3)cn2)C1,O=C(NC1CC1)C1CCC(n2cc(-c3ccnc(NC4CC4)n3)cn2)C1
O=c1nc(-c2ccnc(C3CC3)n2)ccn1-c1ccnc(NC2CCCCC2)n1,O=c1nc(-c2ccnc(C3CC3)n2)ccn1-c1ccnc(NC2CCCCC2)n1
O=C1CCCN(c2ccc(Nc3nccc(-c4cn[nH]c4)n3)cc2)N1,O=C1CCCN(c2ccc(Nc3nccc(-c4cn[nH]c4)n3)cc2)N1
O=c1nc(-c2ccnc(NC3CCOCC3)n2)ccn1-c1cc[nH]n1,O=c1nc(-c2ccnc(NC3CCOCC3)n2)ccn1-c1cc[nH]n1
Cn1nc(-c2ccnc(NC3CCOC3)n2)c(F)c1C1CCC1,c1cc(-c2cc(C3CCC3)[nH]n2)nc(NC2CCOC2)n1
CC1CCC(Nc2nccc(-c3ccnc(-c4cnn(C5CCC(C)C5)c4)n3)n2)CC1,c1cc(-c2ccnc(-c3cnn(C4CCCC4)c3)n2)nc(NC2CCCCC2)n1
Oc1nccc(-c2ccnc(NC3CCCCC3)n2)n1,c1cc(-c2ccnc(NC3CCCCC3)n2)ncn1
Fc1[nH]ccc1-c1ccnc(NC2CC=CCC2)n1,C1=CCC(Nc2nccc(-c3cc[nH]c3)n2)CC1
Cc1ccc(-c2ccnc(NC3CCC4(C3)CC(O)(Cc3c[nH]cn3)C4)n2)cc1,c1ccc(-c2ccnc(NC3CCC4(CC(Cc5c[nH]cn5)C4)C3)n2)cc1
CCn1cc(-c2ccnc(NC3CCC4CCN(C)C4C3)n2)cn1,c1cc(-c2cn[nH]c2)nc(NC2CCC3CCNC3C2)n1
CCCN(c1nccc(-n2ccc(-c3ccnc(NC4CC4)n3)nc2=O)n1)C1CC1,O=c1nc(-c2ccnc(NC3CC3)n2)ccn1-c1ccnc(NC2CC2)n1
COC1CCC(Nc2nccc(-c3ccsc3)n2)CN1CCC1CC1,c1cc(-c2ccsc2)nc(NC2CCCN(CCC3CC3)C2)n1
c1cc(-c2cnn(CC3CCCC3)c2)nc(NC2CCCCCC2)n1,c1cc(-c2cnn(CC3CCCC3)c2)nc(NC2CCCCCC2)n1
O=c1cc(-c2ccnc(NC3CCCC3)n2)cn[nH]1,O=c1cc(-c2ccnc(NC3CCCC3)n2)cn[nH]1
Brc1[nH]ncc1-c1ccnc(NC2CCC(CNC3CC3)CC2)n1,c1cc(-c2cn[nH]c2)nc(NC2CCC(CNC3CC3)CC2)n1
Brc1ccnc(-n2cnc(-c3ccnc(NC4CCOCC4)n3)c2)n1,c1cnc(-n2cnc(-c3ccnc(NC4CCOCC4)n3)c2)nc1
O=C(C1CCC(n2cc(-c3ccnc(NC4CC4)n3)cn2)C1)N1CCCC(CF)C1,O=C(C1CCC(n2cc(-c3ccnc(NC4CC4)n3)cn2)C1)N1CCCCC1
O=C1CCC(CSc2cc(-c3ccnc(NC4CC4)n3)cnn2)N1,O=C1CCC(CSc2cc(-c3ccnc(NC4CC4)n3)cnn2)N1
FC1CCC(Nc2nccc(-c3cnc(-c4cn[nH]c4Cl)c(Cl)n3)n2)C1,c1cc(-c2cnc(-c3cn[nH]c3)cn2)nc(NC2CCCC2)n1
CC(c1sccc1Br)C1CC(Nc2nccc(-c3cn[nH]c3)n2)C1,c1csc(CC2CC(Nc3nccc(-c4cn[nH]c4)n3)C2)c1
O=C(NC1CC1)n1ccc(-c2ccnc(NC3CC3)n2)c1,O=C(NC1CC1)n1ccc(-c2ccnc(NC3CC3)n2)c1
C=C1CCC(n2cc(-c3ccnc(NC4CC4)n3)cn2)C1,C=C1CCC(n2cc(-c3ccnc(NC4CC4)n3)cn2)C1
OC1CCC(Nc2nccc(-c3cncc(NC4CCC(CF)C4)n3)n2)CC1,c1cc(-c2cncc(NC3CCCC3)n2)nc(NC2CCCCC2)n1
O=C1CCC(Nc2nccc(-c3ccsc3)n2)CN1CC(O)CO,O=C1CCC(Nc2nccc(-c3ccsc3)n2)CN1
COc1cc2c(cc1Cl)C(c1cccc(Cl)c1)=NCC2,c1ccc(C2=NCCc3ccccc32)cc1
c1cc(-c2ccsc2)nc(NC2CCCC(C3CCCC3)C2)n1,c1cc(-c2ccsc2)nc(NC2CCCC(C3CCCC3)C2)n1
O=c1nc(-c2ccnc(NC3CCC(CF)C3)n2)ccn1NC1CCOCC1,O=c1nc(-c2ccnc(NC3CCCC3)n2)ccn1NC1CCOCC1
O=c1[nH]cc(-c2ccnc(NC3CCSCC3)n2)[nH]1,O=c1[nH]cc(-c2ccnc(NC3CCSCC3)n2)[nH]1
CC1CCC(Nc2nccc(-c3ccnc(=O)[nH]3)n2)CC1,O=c1nccc(-c2ccnc(NC3CCCCC3)n2)[nH]1
O=c1nc(-c2ccnc(NC3CCCC3)n2)ccn1CC1CCC(O)CC1,O=c1nc(-c2ccnc(NC3CCCC3)n2)ccn1CC1CCCCC1
CCC(Cn1cc(-c2ccnc(NC3CC3)n2)cn1)OC1CCC1,c1cc(-c2cnn(CCOC3CCC3)c2)nc(NC2CC2)n1
Oc1sncc1-c1ccnc(NC2CCCCCC2)n1,c1cc(-c2cnsc2)nc(NC2CCCCCC2)n1
Brc1c(-c2ccnc(NC3CC3)n2)cnn1C1CNC1,c1cc(-c2cnn(C3CNC3)c2)nc(NC2CC2)n1
O=C1C(N2CCOCC2)CCN1c1ccc(Nc2ncc(Cl)c(-c3ccccc3F)n2)cc1,O=C1C(N2CCOCC2)CCN1c1ccc(Nc2nccc(-c3ccccc3)n2)cc1
Cn1nc(-c2ccnc(NC3CC3)n2)c(F)c1C1CCSCC1,c1cc(-c2cc(C3CCSCC3)[nH]n2)nc(NC2CC2)n1
O=C1CCCN1c1ccc(Nc2nccc(-c3c[nH]nc3N3CCC(F)C3)n2)cc1,O=C1CCCN1c1ccc(Nc2nccc(-c3c[nH]nc3N3CCCC3)n2)cc1
O=c1nc(-c2ccnc(NC3CCCCC3)n2)ccn1-c1ccnc(Cl)n1,O=c1nc(-c2ccnc(NC3CCCCC3)n2)ccn1-c1ccncn1
c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1
