generated_scaffold,nearest_reference_scaffold,max_tanimoto_similarity
O=C1CCCN1c1ccc(Nc2nccc(-c3cn[nH]c3)n2)c(CN2CCCCC2)n1,c1ccc(-c2noc(CN3CCCCC3)c2-c2ccnc(NC3CCCCC3)n2)cc1,0.25
c1cc(-c2cn(-c3ccnc(NC4CCOCC4)n3)cn2)ncn1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.25252525252525254
O=c1nc(-c2ccnc(N3CCCCC3)n2)ccn1-c1ccnc(NC2CC2)n1,c1ccc(-c2nn3ccccc3c2-c2ccnc(NC3CC3)n2)cc1,0.25688073394495414
O=c1nc(-c2cn[nH]c2)ccn1-c1ccnc(NC2CCOCC2)n1,c1ccn2c(-c3ccnc(NC4CCNCC4)n3)cnc2c1,0.25688073394495414
O=C1OCC(Nc2nccc(-c3ccsc3)n2)CC1CN1CCOC1=O,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2608695652173913
O=c1cc(-c2ccnc(N3CCC3)n2)ccn1-c1ccnc(NC2CC2)n1,c1ccc(-c2nn3ccccc3c2-c2ccnc(NC3CC3)n2)cc1,0.2616822429906542
O=C(NC1=CCC=C1)NC1CCC(Nc2nccc(-c3ccsc3)n2)C1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2631578947368421
O=c1nc(-c2ccnc(NC3CCOCC3)n2)ccn1-c1ccnc(N2CC2)n1,c1ccc(-c2nn3ccccc3c2-c2ccnc(NC3CC3)n2)cc1,0.2636363636363636
O=C1CC(Nc2nccc(-c3cn[nH]c3)n2)CN1CCCC1CO1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.26548672566371684
O=C1CCC1NC(=O)C1CC(Nc2nccc(-c3ccsc3)n2)CN1,c1ccc(-c2nc(C3CCNCC3)[nH]c2-c2ccnc(NC3CC3)n2)cc1,0.26548672566371684
O=c1nc(-c2nc(NC3CC3)ncc2-c2ccncn2)cc[nH]1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.26881720430107525
O=C1CCCN1c1ccn(C2CCC(Nc3nccc(-c4cn[nH]c4)n3)C2)c1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2689075630252101
O=C1CCCCN1CC1CC(Nc2nccc(-c3ccsc3)n2)CN1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.26956521739130435
O=c1nc(-c2ccnc(NC3CCOCC3)n2)ccn1-c1ccnc(C2CC2)n1,c1cc(-c2cn[nH]c2C2CCCOC2)nc(NC2CCCCC2)n1,0.2702702702702703
c1cc(-c2ccsc2)nc(NC2CCC(CN3CCC(C4CSC4)C3)C2)n1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2719298245614035
O=C1C=C(NCC2CCC(Nc3nccc(-c4ccsc4)n3)C2)CNC1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2719298245614035
O=c1nc(-c2ccncn2)ccn1-c1ccnc(NC2CCC2)n1,c1cnc2[nH]cc(-c3ccnc(NC4CCCCC4)n3)c2c1,0.2727272727272727
c1cc(-c2c[nH]nc2Oc2ccnc(NC3CC3)n2)ncn1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.2736842105263158
O=C1CCN1c1ccc(Nc2nccc(-c3cc[nH]c3)n2)c(=O)[nH]1,c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,0.27380952380952384
O=C1CCCN1C(=O)C1CC(Nc2nccc(-c3ccsc3)n2)CN1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2743362831858407
O=c1nc(-c2ccnc(C3CC3)n2)ccn1-c1ccnc(NC2CC2)n1,c1ccc(-c2nn3ccccc3c2-c2ccnc(NC3CC3)n2)cc1,0.27450980392156865
C1=CCC(Nc2nccc(-c3cscn3)n2)CC1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.27586206896551724
O=C1C=C(N2CC(Nc3nccc(-c4cn[nH]c4)n3)C2)CNC1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2761904761904762
O=c1nc(-c2ccnc(NC3CCOCC3)n2)ccn1-c1ccncn1,c1ccc(-c2nn3ccccc3c2-c2ccnc(NC3CC3)n2)cc1,0.2761904761904762
O=C1CCCN1CC1CC(Nc2nccc(-c3ccsc3)n2)CN1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2767857142857143
O=C(NC1CC(Nc2nccc(-c3ccsc3)n2)C1)C1CCCN1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2777777777777778
O=c1ccnc(NC2CCC(Nc3nccc(-c4ccsc4)n3)C2)[nH]1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.27835051546391754
O=c1nc(-c2ccnc(NC3CCSCC3)n2)ccn1-c1ccncn1,c1ccc(-c2nn3ccccc3c2-c2ccnc(NC3CC3)n2)cc1,0.27884615384615385
O=c1nc(-c2ccnc(NC3CC3)n2)ccn1CC1CCC(Cc2ccsc2)C1,c1ccc(-c2nn3ccccc3c2-c2ccnc(NC3CC3)n2)cc1,0.27927927927927926
O=c1cc(-c2ccncn2)ccn1-c1ccnc(NC2CC2)n1,c1ccc(-c2nn3ccccc3c2-c2ccnc(NC3CC3)n2)cc1,0.28
c1cc(-c2ccsc2)nc(NC2CNC(C3CO3)C2)n1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.28
O=C1CC(CSCC2CCC(Nc3nccc(-c4ccsc4)n3)C2)C1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2803738317757009
O=C1C=C(NC2CCC(Nc3nccc(-c4ccsc4)n3)C2)CNC1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2803738317757009
c1cc(-c2ccsc2)nc(NC2CCC(CN3CCC(Cc4cn[nH]c4)C3)C2)n1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2809917355371901
c1cc(-c2cn[nH]c2)nc(NC2CCC(CNCC3CCOCC3)C2)n1,c1cc(-c2cn[nH]c2C2CCCOC2)nc(NC2CCCCC2)n1,0.2818181818181818
O=C1C=C(N2CCC(Nc3nccc(-c4ccsc4)n3)C2)CNC1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2818181818181818
O=c1cc(-c2c[nH]nc2-c2ccnc(NC3CCOCC3)n2)cc[nH]1,c1cnc2[nH]cc(-c3ccnc(NC4CCCCC4)n3)c2c1,0.2830188679245283
O=C1OCC(CN2CC(Nc3nccc(-c4ccsc4)n3)C2)CO1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2830188679245283
O=C1CC(CN2CC(Nc3nccc(-c4ccsc4)n3)CCC2=O)CO1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2831858407079646
c1cc(-n2cc(-c3ccnc(OC4CCOCC4)n3)cn2)nc(NC2CCOCC2)n1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2831858407079646
O=C1CCCN(CC2CCC(Nc3nccc(-c4ccsc4)n3)C2)C1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2831858407079646
c1cc(-c2ccoc2)nc(NC2CCC(CSCC3CC3)C2)n1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.28431372549019607
O=C1CCC(Nc2nccc(-c3ccsc3)n2)CNC1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.28431372549019607
O=c1cc(-c2cc(-c3ccnc(NC4CCOCC4)n3)n[nH]2)cc[nH]1,c1cc(-c2cn[nH]c2C2CCCOC2)nc(NC2CCCCC2)n1,0.28440366972477066
c1cc(-c2nc(NC3CC3)ncc2-c2ccn[nH]2)ncn1,c1cc(-c2cn[nH]c2C2CCCCC2)nc(NC2CCCC2)n1,0.2857142857142857
O=C1CCC(Nc2nccc(-c3ccsc3)n2)CN1CC1CN(CC2CC2)C1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2857142857142857
O=C1NCC(Nc2nccc(-c3ccsc3)n2)CCO1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2871287128712871
O=c1cc(-n2ccc(-c3ccnc(NC4CCOCC4)n3)n2)cc[nH]1,c1cnc2[nH]cc(-c3ccnc(NC4CCCCC4)n3)c2c1,0.28846153846153844
O=C1NCC(Nc2nccc(-c3ccsc3)n2)CO1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.28865979381443296
O=C1CC(Nc2nccc(-c3cc[nH]c3)n2)CN1,c1cnc2[nH]cc(-c3ccnc(NC4CCCCC4)n3)c2c1,0.28888888888888886
c1cc(-c2ccc(OCC3CCOC3)cc2)nc(NC2CCOC2)n1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.29
c1cc(-c2ccnc(NC3CCC4(CC4)C3)n2)ncn1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.29069767441860467
O=C1CCC(Nc2nccc(-c3cn[nH]c3)n2)CN1CCC1CO1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2909090909090909
O=C1CCOCC(Nc2nccc(-c3cn[nH]c3)n2)CN1CC1CC1,c1cc(-c2cn[nH]c2C2CCCOC2)nc(NC2CCCCC2)n1,0.2909090909090909
O=c1nc(-c2nc(NC3CC3)ncc2-c2ccnc(C3CC3)n2)cc[nH]1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.2916666666666667
O=c1nc(-c2cn[nH]c2)ccn1-c1ccnc(NC2CCC2)n1,c1cc(-c2cn[nH]c2C2CCCCC2)nc(NC2CCCC2)n1,0.2916666666666667
O=C1CC(Nc2nccc(-c3cn[nH]c3)n2)CS1,c1cc(-c2cn[nH]c2C2CCCCC2)nc(NC2CCCC2)n1,0.29213483146067415
c1cc(-c2cn[nH]c2)nc(NC2CCCCO2)n1,c1cc(-c2cn[nH]c2C2CCCCC2)nc(NC2CCCC2)n1,0.29213483146067415
O=c1[nH][nH]nc1-c1ccnc(NC2CC=CCC2)n1,c1cc(-c2cn[nH]c2C2CCCCC2)nc(NC2CCCC2)n1,0.29213483146067415
c1cc(-c2cn[nH]c2)nc(NC2CC3CCN(C4CCC4)C3C2)n1,c1cc(-c2cn[nH]c2C2CCCCC2)nc(NC2CCCC2)n1,0.29292929292929293
c1cc(-c2ccnc(-c3ccnc(NC4CCOCC4)n3)n2)ncn1,c1cc(-c2cn[nH]c2C2CCCOC2)nc(NC2CCCCC2)n1,0.29292929292929293
O=C1CCCN1C1CCC(Nc2nccc(-c3cn[nH]c3)n2)C1,c1cc(-c2cn[nH]c2C2CCCCC2)nc(NC2CCCC2)n1,0.29292929292929293
O=C1CC(Nc2nccc(-c3cn[nH]c3)n2)CN1CCC1CC1,c1cc(-c2cn[nH]c2C2CCCCC2)nc(NC2CCCC2)n1,0.29292929292929293
O=C1CCCN1C(=O)C1CCC(Nc2nccc(-c3ccsc3)n2)C1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.29357798165137616
O=c1nc(-c2ccnc(NC3CCOCC3)n2)ccn1-c1cc[nH]n1,c1ccn2c(-c3ccnc(NC4CCNCC4)n3)cnc2c1,0.29411764705882354
C=C1CC(Nc2nccc(-c3cnoc3)n2)CO1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.29473684210526313
O=C1CCC(=O)N1C1CCC(Nc2nccc(-c3cn[nH]c3)n2)C1,c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1,0.29473684210526313
O=c1nc(-c2ccnc(NC3CCN(COC4CC4)CC3)n2)cc[nH]1,c1cc(-c2cn[nH]c2C2CCCCC2)nc(NC2CCCC2)n1,0.29473684210526313
O=C1CC(Nc2nccc(-c3cnoc3)n2)CO1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.29473684210526313
N=C1CC(Nc2nccc(-c3ccsc3)n2)CO1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.29473684210526313
c1cc(-c2ccsc2)nc(NC2CCN(C3CCNC3)C2)n1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.29523809523809524
O=C1CCC(Nc2nccc(-c3cn[nH]c3)n2)CN1CC1CO1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2962962962962963
O=C1C=C(Nc2nccc(-c3cnn(CC4CCC4)c3)n2)CN1C1CCCNC1,c1ccc(Cn2cc(-c3ccnc(NC4CCCCC4)n3)cn2)cc1,0.2966101694915254
O=C1CNCC(Nc2nccc(-c3cn[nH]c3)n2)C1,c1cc(-c2cn[nH]c2C2CCCCC2)nc(NC2CCCC2)n1,0.2967032967032967
c1cc(-c2ccnc(NC3CCN(C4CCOCC4)CC3)n2)ncn1,c1cc(-c2cn[nH]c2C2CCCOC2)nc(NC2CCCCC2)n1,0.297029702970297
